mes_ref,codigo,descricao,valor
fevereiro,1.2.1.5.01.1.1.004,Contribuição do Servidor Civil Ativo - Instituto,964.7
fevereiro,1.2.1.5.01.1.1.002,Contribuição do Servidor Civil Ativo - Prefeitura,811218.12
fevereiro,1.2.1.5.01.1.1.001,Contribuição do Servidor Civil Ativo - Câmara,15113.46
fevereiro,1.1.2.2.01.0.4.005,M/J DA OUT. TAXAS PREST SERVIÇOS,0.0
fevereiro,1.1.2.2.01.0.4.004,M/J DIV ATIVA REMOÇÃO LIXO,22800.68
fevereiro,1.3.1.1.01.1.3.001,DIV ATIVA ALUGUEIS,122.71
fevereiro,1.3.2.1.01.0.1.018,RENDIMENTOS ESCOLA PROFISSIONAL,226.66
fevereiro,1.9.2.2.99.0.1.003,Restituições,0.0
fevereiro,1.3.2.1.01.0.1.020,REC REND SAUDE FEDERAL,28477.48
fevereiro,1.1.2.2.01.0.4.003,M/J DIV ATIVA TX PROT ACIDENTES,2993.82
fevereiro,1.6.1.1.01.0.3.002,TARIFA AMPLIAÇÃO DIVIDA RECONHECIDA,9671.74
fevereiro,9.6.1.1.01.0.3.001,DESCONTOS SOCIAIS DIV ATIVA AGUA,0.0
fevereiro,1.6.1.1.01.0.3.001,DIV ATIVA TARIFAS,7877.03
fevereiro,1.6.1.1.01.0.3.001,DIV ATIVA TARIFAS,649.05
fevereiro,1.6.1.1.01.0.2.001,TARIFAS MULTAS/JUROS,38.7
fevereiro,1.6.1.1.01.0.2.001,TARIFAS MULTAS/JUROS,98.7
fevereiro,1.6.1.1.01.0.1.023,CERTIDÃO NEGATIVA DE DEBITOS AMBIENTAIS,0.0
fevereiro,1.6.1.1.01.0.1.022,PARECER TECNICO AMBIENTAL,0.0
fevereiro,1.6.1.1.01.0.1.021,AUTORIZAÇÃO DE CORTE DE ARVORE ISOLADA,0.0
fevereiro,1.6.1.1.01.0.1.020,CERTIFICADO DE DISPENSA DE LICENÇA CDL,0.0
fevereiro,1.6.1.1.01.0.1.018,TARIFAS DE DISPOSIÇÃO DE RESIDUOS CONSTR.CIVIL,18630.0
fevereiro,1.6.1.1.01.0.1.007,TARIFA ESGOTO REFERENTE POÇO,0.0
fevereiro,9.6.1.1.01.0.1.006,DESCONTOS SOCIAIS ESGOTO,0.0
fevereiro,1.6.1.1.01.0.1.006,TARIFS UTIL. ESGOTO SANITARIO,309.69
fevereiro,9.6.1.1.01.0.1.005,DESCONTOS SOCIAIS - ÁGUA,0.0
fevereiro,1.6.1.1.01.0.1.005,TARIFAS DE CONSUMO DE AGUA,254.94
fevereiro,1.6.1.1.01.0.1.004,VISTORIA DE SUPRESSÃO DE ARVORE EM CALÇADA,74.68
fevereiro,1.6.1.1.01.0.1.001,TARIFA DE MANIFESTAÇÃO DE ORGÃO AMBIENTAL,0.0
fevereiro,1.3.3.9.99.0.1.002,OUTORGA VARIÁVEL,28647.09
fevereiro,1.3.2.2.01.0.1.001,DIVIDENDOS,6.29
fevereiro,1.3.2.1.04.0.1.000,Remuneração dos Recursos do Regime Próprio de Prev,18152.92
fevereiro,1.3.2.1.01.0.1.025,REC REM ASS SOCIAL - FEDERAL,3142.81
fevereiro,1.3.2.1.01.0.1.024,REC REM ASS SOCIAL - ESTADUAL,2526.55
fevereiro,1.3.2.1.01.0.1.023,REC REM EDUCAÇÃO - FEDERAL,0.0
